Name,No.,Type,Count,Culture,Date Added,Age (Months),Senate Expertise,Dragon or Spiritual Beast,BSC Group 1,BSC Group 2,BSC Codes,Base Skill Code 1,Base Skill Code 2,Covenant General 1,Covenant General 2,Covenant General 3,Acquisition 1,Acquisition 2,Acquisition 3,Acquisition 4,Category 1,Category 2,Category 3,,,
Abd al-Rahman I,1,Epic,1,Arabia,"December, 2017",90,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,9 - Duty Officer,-,-,,,
Aethelflaed,2,Epic,1,Europe,"December, 2022",29,Development,Not Required,,,MT1M-MT2M,MT-AT-wMA,MT-DF-wMA,-,-,-,General Token (Glory),General Token (Premium),General Token (GH2),-,5 - Monsters (Pushing),7 - Monsters (Treasure),-,,,
Alessandra,3,Epic,1,Other,"November, 2022",30,Ground,Not Required,,,GR5A-MS,GR-AT&HP-wAT,MS,-,-,-,Premium Special Event,General Token (GH2),-,-,6 - Ground,-,-,,,
Alexander Nevski,4,Epic,1,Russia,"December, 2017",90,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,2 - Subordinate City (PvP),-,-,,,
Alexander the Great,5,Epic,1,Other,"August, 2021",46,Ground,Not Required,,,GR1A-RC,GR-AT-wAT,RC,-,-,-,General Token (Premium),General Token (GH2),-,-,6 - Ground,-,-,,,
Alfred the Great,6,Epic,1,Europe,"December, 2017",90,Ranged,Not Required,,,RA1A-SG1A,RA-AT-wAT,SG-AT-wAT,-,-,-,Relic Rewards,General Token (Premium),-,-,3 - Ranged,10 - Siege,-,,,
Algernon Sydney,7,Epic,1,Europe,"October, 2024",7,Ranged,Not Required,,,RA4A-RA13A,RA-AT&DF-wAT,RA&SG-HP-wAT,William Wallace,John Churchill,Merlin,General Token (Premium),General Token (Glory),-,-,3 - Ranged,-,-,,,
Amir Timur,8,Epic,1,Other,"December, 2017",90,Development,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,8 - Gathering,-,-,,,
Amr ibn al-As,9,Epic,1,Arabia,"May, 2021",49,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,-,-,-,2 - Subordinate City (PvP),-,-,,,
Andre Massena,10,Epic,1,Europe,"December, 2023",17,Mounted,Not Required,,,MT1L-MS,MT-AT-wLD,MS,Turenne,Roland,Bertrand du Guesclin,Special Event,-,-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Andrew Jackson,11,Epic,1,America,"January, 2019",77,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,2 - Subordinate City (PvP),-,-,,,
Antara,12,Legendary,0,Arabia,"December, 2017",90,Ranged,Not Required,,,RA1L-EM,RA-AT-wLD,EM,-,-,-,Tavern,-,-,-,3 - Ranged,-,-,,,
Arminius,13,Epic,1,Europe,"August, 2019",70,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,Great General's Chest,-,-,2 - Subordinate City (PvP),-,-,,,
Ashoka,14,Epic,1,Other,"September, 2021",45,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Askia Muhammad I,15,Epic,1,Other,"March, 2019",75,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Tavern,Great General's Chest,-,-,9 - Duty Officer,-,-,,,
Attila,16,Legendary,0,Other,"December, 2017",90,Development,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,8 - Gathering,-,-,,,
Aurelian,17,Epic,1,Europe,"March, 2023",26,Ground,Not Required,,,GR1A-GR13A,GR-AT-wAT,GR&MT-HP-wAT,-,-,-,General Token (Glory),General Token (Premium),-,-,6 - Ground,-,-,,,
Baibars,18,Epic,1,Arabia,"July, 2018",83,Development,Not Required,-,-,DD-MA-EM,DD-wMA,EM,-,-,-,Tavern,-,-,-,7 - Monsters (Treasure),-,-,,,
Baldwin IV,19,Epic,1,Europe,"May, 2021",49,Subordinate City,Not Required,-,-,-,-,-,-,-,-,General Token (Glory),General Token (Premium),General Token (GH2),-,2 - Subordinate City (PvP),-,-,,,
Ban Chao,20,Epic,1,China,"May, 2019",73,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Tavern,Great General's Chest,-,-,9 - Duty Officer,-,-,,,
Barbarossa,21,Epic,1,Europe,"December, 2017",90,Mounted,Not Required,,,MS-MT1A,MS,MT-AT-wAT,-,-,-,Tavern,Great General's Chest,-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Basil II,22,Epic,1,Europe,"May, 2022",37,Mixed,Not Required,,,GR11A-GR12A,GR&MT-AT-wAT,GR&MT-DF-wAT,-,-,-,General Token (Premium),General Token (GH2),-,-,6 - Ground,4 - Mounted,5 - Monsters (Pushing),,,
Beowulf,23,Epic,1,Other,"March, 2024",14,Mounted,Not Required,,,MT4A-MT13A,MT-AT&DF-wAT,MT&GR-HP-wAT,King Arthur,Roland,Mordred,General Token (Premium),-,-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Bertrand du Guesclin,24,Epic,1,Europe,"March, 2022",39,Mounted,Not Required,,,MT1A-MT12A,MT-AT-wAT,MT&GR-DF-wAT,-,-,-,General Token (Premium),General Token (GH2),-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Blanche,25,Epic,1,Europe,"September, 2024",8,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Caesar [D],26,Epic,1,Europe,"June, 2021",48,Development,Dragon,-,-,MT1M-MT11M,MT-AT-wMA,MT&GR-AT-wMA,-,-,-,Special Event,-,-,-,5 - Monsters (Pushing),7 - Monsters (Treasure),-,,,
Caesar [ND],27,Epic,0,Europe,"June, 2021",48,Development,No Dragon,-,-,MT1M-MT11M,MT-AT-wMA,MT&GR-AT-wMA,-,-,-,Special Event,-,-,-,5 - Monsters (Pushing),7 - Monsters (Treasure),-,,,
Carus,28,Epic,1,Europe,"March, 2021",51,Mixed,Not Required,,,TR1A-GR1A,TR-AT-wAT,GR-AT-wAT,-,-,-,General Token (Premium),General Token (GH2),-,-,6 - Ground,-,-,,,
Casimir Pulaski,29,Epic,1,America,"December, 2017",90,Mixed,Not Required,,,TR-DtWA-EM,TR-DtW-wAT,EM,-,-,-,Tavern,-,-,-,10 - Siege,-,-,,,
Catherine II,30,Epic,1,Russia,"December, 2017",90,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,11 - Subordinate City (Pce),2 - Subordinate City (PvP),-,,,
Charles Martel,31,Epic,1,Europe,"December, 2017",90,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,11 - Subordinate City (Pce),2 - Subordinate City (PvP),-,,,
Charles the Great,32,Epic,1,Europe,"August, 2018",82,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,11 - Subordinate City (Pce),2 - Subordinate City (PvP),-,,,
Charles XII,33,Epic,1,Europe,"February, 2023",28,Ranged,Not Required,,,RA1A-MS-RA12A,RA-AT-wAT,MS-RA&SG-DF-wAT,-,-,-,General Token (Glory),General Token (Premium),-,-,3 - Ranged,-,-,,,
Cheng Yaojin,34,Epic,1,China,"October, 2024",7,Mounted,Not Required,,,MT1L-,MT-AT-wLD,MT&GR-DF&HP-wLD,Li Shimin,Li Jing,Sun Ce,General Token (Premium),General Token (Glory),-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Cimon,35,Epic,1,Europe,"July, 2024",10,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,2 - Subordinate City (PvP),-,-,,,
Cleopatra,36,Legendary,0,Other,"September, 2018",81,Development,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,7 - Monsters (Treasure),-,-,,,
Clovis I,37,Epic,1,Europe,"December, 2023",17,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Cnut the Great,38,Epic,1,Europe,"September, 2019",69,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,-,-,-,2 - Subordinate City (PvP),-,-,,,
Constance I,39,Legendary,0,Europe,"December, 2017",90,Development,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,8 - Gathering,-,-,,,
Constantine the Great,40,Epic,1,Europe,"May, 2020",61,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,-,-,-,2 - Subordinate City (PvP),-,-,,,
Cyrus the Great,41,Epic,1,Other,"July, 2021",47,Mounted,Not Required,,,RA11A-MT1A,RA&SG-AT-wAT,MT-AT-wAT,-,-,-,Tavern,-,-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Darius I,42,Epic,1,Other,"October, 2021",44,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,-,-,-,2 - Subordinate City (PvP),-,-,,,
David Farragut,43,Epic,1,America,"February, 2022",40,Subordinate City,Not Required,-,-,-,-,-,-,-,-,General Token (Premium),General Token (GH3),-,-,2 - Subordinate City (PvP),-,-,,,
Dmitry,44,Epic,1,Russia,"December, 2017",90,Mixed,Not Required,,,GR7R-RA1R,GR-DF&HP-wRN,RA-AT-wRN,-,-,-,Tavern,-,-,-,3 - Ranged,-,-,,,
Douglas [D/S],45,Epic,1,Other,"April, 2023",25,Ranged,Dragon/Spiritual Beast,,,RA1A-RA14A,RA-AT-wAT,RA&SG-AT&DF-wAT,-,-,-,General Token (Glory),General Token (Premium),-,-,3 - Ranged,-,-,,,
Douglas [ND/S],46,Epic,0,Other,"April, 2023",25,Ranged,No Dragon/Spiritual Beast,,,RA1A-RA14A,RA-AT-wAT,RA&SG-AT&DF-wAT,-,-,-,General Token (Glory),General Token (Premium),-,-,3 - Ranged,-,-,,,
Edward III,47,Epic,1,Europe,"December, 2022",29,Ranged,Not Required,,,RA11L-RA2L,RA&SG-AT-wLD,RA-DF-wLD,-,-,-,General Token (Premium),-,-,-,3 - Ranged,-,-,,,
Edward Teach [D/S],48,Epic,1,Europe,"May, 2023",24,Siege,Dragon/Spiritual Beast,,,SG4L-RA11L,SG-AT&DF-wLD,RA&SG-AT-wLD,-,-,-,General Token (Glory),General Token (Premium),General Token (GH3),-,10 - Siege,-,-,,,
Edward Teach [ND/S],49,Epic,0,Europe,"May, 2023",24,Siege,No Dragon/Spiritual Beast,,,SG4L-RA11L,SG-AT&DF-wLD,RA&SG-AT-wLD,-,-,-,General Token (Glory),General Token (Premium),General Token (GH3),-,10 - Siege,-,-,,,
Edward the Black Prince,50,Epic,1,Europe,"December, 2017",90,Ranged,Not Required,,,RA1L-RE-MT1L,RA-AT-wLD,RE-MT-AT-wLD,-,-,-,Tavern,-,-,-,3 - Ranged,2 - Subordinate City (PvP),-,,,
El Cid [D],51,Epic,1,Europe,"July, 2020",59,Mixed,Dragon,,,TR1A-GR11L,TR-AT-wAT,GR&MT-AT-wLD,-,-,-,General Token (Premium),General Token (GH2),-,-,6 - Ground,4 - Mounted,5 - Monsters (Pushing),,,
El Cid [ND],52,Epic,0,Europe,"July, 2020",59,Mixed,No Dragon,,,TR1A-GR11L,TR-AT-wAT,GR&MT-AT-wLD,-,-,-,General Token (Premium),General Token (GH2),-,-,6 - Ground,4 - Mounted,5 - Monsters (Pushing),,,
Eleanor,53,Epic,1,Other,"April, 2023",25,Ranged,Not Required,,,RA4A-MS,RA-AT&DF-wAT,MS,-,-,-,Special Event,-,-,-,3 - Ranged,-,-,,,
Elektra [D],54,Epic,1,Other,"December, 2019",66,Ranged,Dragon,,,RA31A-RA1L,RA&MT-AT-wAT,RA-AT-wLD,-,-,-,Relic Rewards,General Token (Glory),General Token (Premium),General Token (GH2),3 - Ranged,-,-,,,
Elektra [ND],55,Epic,0,Other,"December, 2019",66,Ranged,No Dragon,,,RA31A-RA1L,RA&MT-AT-wAT,RA-AT-wLD,-,-,-,Relic Rewards,General Token (Glory),General Token (Premium),General Token (GH2),3 - Ranged,-,-,,,
Elise [D],56,Epic,1,Other,"December, 2021",42,Ground,Dragon,,,GR1A-GR13A,GR-AT-wAT,GR&MT-HP-wAT,-,-,-,General Token (Glory),General Token (Premium),General Token (GH2),-,6 - Ground,-,-,,,
Elise [ND],57,Epic,0,Other,"December, 2021",42,Ground,No Dragon,,,GR1A-GR13A,GR-AT-wAT,GR&MT-HP-wAT,-,-,-,General Token (Glory),General Token (Premium),General Token (GH2),-,6 - Ground,-,-,,,
Elizabeth I,58,Epic,1,Europe,"February, 2022",40,Mixed,Not Required,,,RA11L-RE-RA1L,RA&SG-AT-wLD,RE-RA-AT-wLD,-,-,-,General Token (Premium),General Token (GH2),-,-,3 - Ranged,2 - Subordinate City (PvP),-,,,
Emperor Qin Shihuang,59,Epic,1,China,"May, 2018",85,Siege,Not Required,,,SG1L-EM,SG-AT-wLD,EM,-,-,-,Tavern,-,-,-,10 - Siege,-,-,,,
Empress Dowager Cixi,60,Epic,1,Other,"December, 2017",90,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,2 - Subordinate City (PvP),-,-,,,
Empress Wu,61,Epic,1,China,"December, 2017",90,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,11 - Subordinate City (Pce),2 - Subordinate City (PvP),-,,,
Epaminondas,62,Epic,1,Europe,"October, 2021",44,Ground,Not Required,,,GR1L-GR13L,GR-AT-wLD,GR&MT-HP-wLD,-,-,-,General Token (Premium),General Token (GH2),-,-,6 - Ground,-,-,,,
Eulji Mundeok,63,Epic,1,Korea,"August, 2019",70,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,9 - Duty Officer,-,-,,,
Flavius Aetius,64,Epic,1,Europe,"January, 2019",77,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,General Token (GH2),-,-,2 - Subordinate City (PvP),-,-,,,
Franz Joseph I,65,Epic,1,Europe,"December, 2024",5,Ranged,Not Required,,,RA1L-RA17L,RA-AT-wLD,RA&SG-DF&HP-wLD,Arminius,Prince Eugene,Raimondo,General Token (Premium),General Token (Glory),-,-,3 - Ranged,-,-,,,
